"Service","EC2-Instances($)","EC2-Other($)","VPC($)","Relational Database Service($)","S3($)","Elastic Container Service for Kubernetes($)","Elastic Load Balancing($)","CloudWatch($)","SQS($)","Secrets Manager($)","EC2 Container Registry (ECR)($)","SNS($)","Cost Explorer($)","Service Catalog($)","Route 53($)","DynamoDB($)","Key Management Service($)","Step Functions($)","Simple Workflow Service($)","Glacier($)","SES($)","Lambda($)","CloudTrail($)","Glue($)","CloudFormation($)","Total costs($)"
"2024-06-09","61.2317482419","11.0213664418","8.0654739746","4.8433104054","0.6382141934","2.4","0.5736292001","1.2266677673","0.0001064","0.0949333328","0.0772647096","0","0.01","0","0.000034","0.0213120552","0.002376","0.000000298","0.0000004959","0.0000029064","","","0","0","","90.2064404224"
"2024-06-10","62.1957833745","11.1053057598","8.0658052174","4.841284717","0.6383242072","2.4","0.5737664935","1.2266673765","0.0065412","0.0939283328","0.0783713831","0","0.01","0","0.0001232","0.0213120552","0.002376","0.00000024","0.0000004437","0.000002904","","","0","0","","91.2595929047"
"2024-06-11","61.2389943453","20.3938547542","8.0665474781","6.3580845642","2.2691585895","2.4","0.5737891701","1.2266792141","0.3298944","0.0919683328","0.0818945527","0","0.01","0","0.0001188","0.0213120552","0.00231","0.00000024","0.0000004698","0.0000027533","","","0","0","","103.0646097193"
"2024-06-12","60.0573785046","29.2956452584","8.0660191992","5.2147157118","1.2949479971","2.4","0.5737273365","1.2266673849","0.0155272","0.0949833328","0.0828389976","0","0.01","0","0.0001076","0.0213120552","0.002376","0.000000225","0.0000004176","0.0000029266","","","0","0","","108.3562501473"
"2024-06-13","60.2933508147","11.1654354821","8.0659366289","4.8888995436","0.6831092767","2.4","0.5737406221","1.2266675409","0.0074264","0.0936483328","0.0828389976","0","0.01","0","0.0001284","0.0213120555","0.002442","0.000000255","0.0000004437","0.0000029269","","","0","0","","89.5149397205"
"2024-06-14","60.0575285149","11.0683741766","8.0658401415","4.8661220796","0.6653079968","2.4","0.5737139109","1.2262507185","0.0050024","0.0933133328","0.0828389976","0","0.01","0","0.0001008","0.0213120576","0.002178","0.00000018","0.000000261","0.0000029712","","","0","0","","89.137886539"
"2024-06-15","60.0467430097","11.0976815875","8.0653258282","4.8692677377","0.6656804641","2.4","0.5736","1.2258342079","0.0048876","0.0909783328","0.0828389976","0","0.01","0","0.0000268","0.0213120576","0.00231","0.00000006","0.0000001305","0.0000034727","","","0","0","","89.1564902863"
"2024-06-16","59.9340545825","11.0692035769","8.0654368287","4.862130651","0.6610700204","2.4","0.5736193284","1.2266675495","0.0044124","0.0917333328","0.0828389976","0","0.01","0","0.0000124","0.0213120576","0.00231","0.00000003","0.0000000522","0.0000035172","","","0","0","","89.0048053248"
"2024-06-17","59.7620710568","11.6917495452","8.0738997635","5.7177901997","0.7908900032","2.4","0.5750176482","1.2267033664","0.0202504","0.0900861106","0.086659651","","","","0.0000456","0.0213120576","0.001914","","","0.0000034564","","","0","","","90.4583928586"
"2024-06-18","40.9497233069","11.066933861","8.0657453768","4.8519382712","0.6556712948","2.4","0.5736","1.2266674089","0.003814","0.0900711106","0.0904486824","","","","0.0000136","0.0213120576","0.002244","","","0.000003099","","","0","","","69.9981860692"
"2024-06-19","40.303825956","11.1055427995","8.0717129838","4.9022685706","0.6759655953","2.4","0.5736","1.2266674089","0.0065816","0.0912733328","0.0904486824","0","0.01","0","0.0000068","0.0213120576","0.001716","","","0.0000033825","","","0","0","","69.4809251694"
"2024-06-20","40.8743041615","11.043605954","8.0655756523","4.8513596245","0.654656816","2.4","0.5736699111","1.2266674089","0.0035424","0.0916233328","0.0904486824","","","","0.0000484","0.0213120576","0.001452","","","0.0000035627","","","0","0","","69.8982699638"
"2024-06-21","39.7102264817","11.0606526451","8.0655543649","4.8605942346","0.6605210671","2.4","0.5737542018","1.2266674089","0.0043512","0.0918133328","0.0912376609","0","0.03","0","0.0001304","0.0213120576","0.002046","0.00000003","0.0000000522","0.0000036258","","","0","0","","68.7988647634"
"2024-06-22","39.0652821414","11.0593618036","8.065332903","4.8556431962","0.6597657823","2.4","0.5736135999","1.2266674089","0.0042064","0.0917283328","0.0915357312","","","0","0.000006","0.0213120576","0.00198","","0.0000000261","0.0000034458","","","0","0","","68.1164388288"
"2024-06-23","39.0860623494","11.0737425978","8.0653844817","4.8749341952","0.6649453711","2.4","0.5736421332","1.2266674906","0.0048848","0.0921983328","0.0915357312","0","0.07","0.0077","0.0000132","0.0213120576","0.002244","0.000000135","0.0000001827","0.0000036111","","","0","0","","68.2552706694"
"2024-06-24","40.2796123545","11.0443519734","8.0659635288","4.847988596","0.6570935505","2.4","0.5737203111","1.2266674908","0.0036876","0.0947283328","0.0915357312","0","0.01","0.0021","0.0000972","0.0213120576","0.00231","0.000000402","0.0000007308","0.0000029699","","","0","0","","69.3211728294"
"2024-06-25","40.5141880124","11.0789182916","8.0656309839","4.8623335201","0.6659346039","2.4","0.5737170223","1.2266675653","0.004838","0.0957633328","0.0915357312","0","0.01","0.0021","0.0001332","0.0213120576","0.002508","0.000000472","0.0000006786","0.0000028398","","","0","0","","69.6155843115"
