service_id,service_type,month,spend
39,Cost Explorer,2024-11-01,979.765
39,Cost Explorer,2024-12-01,1095.979
39,Cost Explorer,2025-01-01,1048.0456
39,Cost Explorer,2025-02-01,1169.8571
39,Cost Explorer,2025-03-01,1066.9557
40,Secrets Manager,2024-04-01,963.8753
40,Secrets Manager,2024-05-01,974.4313
40,Secrets Manager,2024-06-01,983.6234
40,Secrets Manager,2024-07-01,1025.2927
40,Secrets Manager,2024-08-01,1028.1582
40,Secrets Manager,2024-09-01,990.9359
40,Secrets Manager,2024-10-01,1010.393
40,Secrets Manager,2024-11-01,1011.0431
40,Secrets Manager,2024-12-01,1032.7613
40,Secrets Manager,2025-01-01,1043.1172
40,Secrets Manager,2025-02-01,1062.9571
40,Secrets Manager,2025-03-01,1084.4747
41,Kinesis Firehose,2024-04-01,1462.7055
41,Kinesis Firehose,2024-05-01,1130.6421
41,Kinesis Firehose,2024-06-01,809.9963
41,Kinesis Firehose,2024-07-01,872.826
41,Kinesis Firehose,2024-08-01,893.5906
41,Kinesis Firehose,2024-09-01,889.9641
41,Kinesis Firehose,2024-10-01,922.8895
41,Kinesis Firehose,2024-11-01,856.7601
41,Kinesis Firehose,2024-12-01,926.731
41,Kinesis Firehose,2025-01-01,962.887
41,Kinesis Firehose,2025-02-01,920.5765
41,Kinesis Firehose,2025-03-01,1057.5746
42,Backup,2024-04-01,934.6714
42,Backup,2024-05-01,868.1244
42,Backup,2024-06-01,854.1752
42,Backup,2024-07-01,778.8662
42,Backup,2024-08-01,738.4179
42,Backup,2024-09-01,734.2094
42,Backup,2024-10-01,742.5241
42,Backup,2024-11-01,754.2154
42,Backup,2024-12-01,1002.6878
42,Backup,2025-01-01,1278.4014
42,Backup,2025-02-01,1307.0411
42,Backup,2025-03-01,1313.8879
43,Glue,2024-04-01,875.2099
43,Glue,2024-05-01,2098.4716
43,Glue,2024-06-01,1044.0575
43,Glue,2024-07-01,916.3488
43,Glue,2024-08-01,424.7865
43,Glue,2024-09-01,630.0351
43,Glue,2024-10-01,752.3842
43,Glue,2024-11-01,873.3846
43,Glue,2024-12-01,1010.3192
43,Glue,2025-01-01,772.1466
43,Glue,2025-02-01,758.635
43,Glue,2025-03-01,958.4941
44,Key Management Service,2024-04-01,803.4714
44,Key Management Service,2024-05-01,897.9013
44,Key Management Service,2024-06-01,847.3815
44,Key Management Service,2024-07-01,842.8937
44,Key Management Service,2024-08-01,881.8574
44,Key Management Service,2024-09-01,914.9884
44,Key Management Service,2024-10-01,931.1397
44,Key Management Service,2024-11-01,925.6352
44,Key Management Service,2024-12-01,943.8004
44,Key Management Service,2025-01-01,954.326
44,Key Management Service,2025-02-01,978.7152
44,Key Management Service,2025-03-01,1004.9377
45,SES,2024-04-01,613.4483
45,SES,2024-05-01,642.1031
45,SES,2024-06-01,570.1008
45,SES,2024-07-01,591.1669
45,SES,2024-08-01,554.929
45,SES,2024-09-01,504.8679
45,SES,2024-10-01,501.6565
45,SES,2024-11-01,402.8013
45,SES,2024-12-01,465.108
45,SES,2025-01-01,510.0603
45,SES,2025-02-01,493.3978
45,SES,2025-03-01,469.6986
46,SQS,2024-04-01,511.3502
46,SQS,2024-05-01,500.1525
46,SQS,2024-06-01,509.7195
46,SQS,2024-07-01,485.4816
46,SQS,2024-08-01,573.5484
46,SQS,2024-09-01,572.3826
46,SQS,2024-10-01,513.0403
46,SQS,2024-11-01,469.4216
46,SQS,2024-12-01,565.1606
46,SQS,2025-01-01,522.2346
46,SQS,2025-02-01,454.0515
46,SQS,2025-03-01,550.2829
47,CloudTrail,2024-04-01,192.2266
47,CloudTrail,2024-05-01,926.7255
47,CloudTrail,2024-06-01,2564.9187
47,CloudTrail,2024-07-01,704.6693
47,CloudTrail,2024-08-01,188.9638
47,CloudTrail,2024-09-01,166.2169
47,CloudTrail,2024-10-01,170.7941
47,CloudTrail,2024-11-01,163.434
47,CloudTrail,2024-12-01,170.961
47,CloudTrail,2025-01-01,172.8113
47,CloudTrail,2025-02-01,172.8162
47,CloudTrail,2025-03-01,176.6886
48,Kinesis,2024-04-01,416.2099
48,Kinesis,2024-05-01,439.1982
48,Kinesis,2024-06-01,428.8527
48,Kinesis,2024-07-01,472.2227
48,Kinesis,2024-08-01,482.1753
48,Kinesis,2024-09-01,466.6231
48,Kinesis,2024-10-01,482.1683
48,Kinesis,2024-11-01,466.5793
48,Kinesis,2024-12-01,482.1554
48,Kinesis,2025-01-01,482.1701
48,Kinesis,2025-02-01,435.4722
48,Kinesis,2025-03-01,482.1407
49,SUSE Linux Enterprise Server for SAP Applications 15 SP5,2024-04-01,367.2
49,SUSE Linux Enterprise Server for SAP Applications 15 SP5,2024-05-01,379.44
49,SUSE Linux Enterprise Server for SAP Applications 15 SP5,2024-06-01,367.2
49,SUSE Linux Enterprise Server for SAP Applications 15 SP5,2024-07-01,379.44
49,SUSE Linux Enterprise Server for SAP Applications 15 SP5,2024-08-01,392.19
49,SUSE Linux Enterprise Server for SAP Applications 15 SP5,2024-09-01,367.2
49,SUSE Linux Enterprise Server for SAP Applications 15 SP5,2024-10-01,379.44
49,SUSE Linux Enterprise Server for SAP Applications 15 SP5,2024-11-01,367.2
49,SUSE Linux Enterprise Server for SAP Applications 15 SP5,2024-12-01,379.44
49,SUSE Linux Enterprise Server for SAP Applications 15 SP5,2025-01-01,380.46
